"Translation Info:
#---------------------------
20,2,13,"13. N’iyo babwiwe bati “Nimwemere nk’uko abandi bantu (abasangirangendo b’Intumwa Muhamadi) bemeye”, baravuga bati “Ese twemere nk’uko abadafite ubwenge bemeye?” Ahubwo ni bo badafite ubwenge ariko ntibabisobanukirwa.",""
21,2,14,"14. N’iyo bahuye n’abemeye, baravuga bati “Twaremeye.” Nyamara bakwiherera bari kumwe n’ibikomerezwa byabo bibayobora mu buhakanyi, bakavuga bati “Rwose turi kumwe namwe, naho bo (abemeramana) mu by’ukuri tuba tubannyega.”",""
22,2,15,"15. Allah arabannyega (aburizamo umugambi wabo), akanabarekera mu kwigomeka kwabo barindagira.",""
23,2,16,"16. Abo ni bo bahisemo ubuyobe babugurana kuyoboka, ndetse n’amahitamo yabo nta cyo yabunguye; kandi ntibanayobotse.",""
24,2,17,"17. Urugero rwabo ni nk’urw’ uwacanye umuriro, nuko wamara kumurika no kubonesha ibimukikije byose, Allah agatwara urumuri rwabo, akabasiga mu mwijima batabona.",""
25,2,18,"18. (Abo bameze) nk’abatumva, abatavuga, ndetse n’abatabona; kandi nta n’ubwo bazisubiraho (ngo bagaruke mu nzira itunganye).",""
26,2,19,"19. Cyangwa (urundi rugero rwabo) ni (nk’abantu bagenda) mu mvura nyinshi iva mu kirere, irimo umwijima, inkuba n’imirabyo; bagashyira intoki zabo mu matwi kubera urusaku rwinshi rw’inkuba batinya gupfa. Ariko Allah agose abahakanyi (mu mpande zose).",""
27,2,20,"20. Umurabyo uba wenda kubahuma amaso, buri uko ubamurikiye baratambuka, wabazimiraho bagahagarara. Kandi n’iyo Allah aza kubishaka yari kubambura kumva kwabo no kubona kwabo. Mu by’ukuri, Allah ni Ushobora byose.",""
28,2,21,"21. Yemwe bantu! Nimusenge Nyagasani wanyu wabaremye, mwe n’abababanjirije; kugira ngo mumugandukire.",""
29,2,22,"22. We wabagiriye isi nk’isaso (kugira ngo muyigubweho neza) n’ikirere akakigira nk’igisenge, ndetse akanakimanuramo amazi, akayameresha imbuto zikaba amafunguro yanyu. Bityo, ntimukagire izindi mana mubangikanya na Allah, kandi mubizi (ko ari We wenyine ukwiye gusengwa).",""
30,2,23,"23. Kandi niba mushidikanya ku byo twahishuriye umugaragu wacu (Muhamadi), ngaho nimuzane igice cya Qur’an (Surat) kimwe kimeze nka yo (Qur’an), ndetse munahamagare abunganizi banyu batari Allah, niba muri abanyakuri.",""
31,2,24,"24. Niba rero mutabikoze, nta n’ubwo muteze kubikora na mba, ngaho nimwirinde umuriro, wo ibicanwa byawo (bizaba ari) abantu n’amabuye; wateguriwe abahakanyi.",""
32,2,25,"25. Kandi uhe inkuru nziza ba bandi bemeye bakanakora ibikorwa byiza, ko bazagororerwa ubusitani butembamo imigezi (Ijuru). Buri uko bazajya bafungurirwamo imbuto, bazajya bavuga bati “Izi ni zo twafungurirwaga mbere”, ndetse bazazihabwa zisa (nk’izo baryaga ku isi, ariko zitandukanye mu buryohe). Bazanagororerwamo abafasha basukuye, kandi bazanabubamo ubuziraherezo.",""
33,2,26,"26. Mu by’ukuri, Allah ntaterwa isoni no gutanga urugero urwo ari rwo rwose n’iyo rwaba urw’umubu cyangwa ikiwuruta. Ariko kuri ba bandi bemeye, bamenya ko ari ukuri guturutse kwa Nyagasani wabo, mu gihe abahakanye bavuga bati “Allah yari agamije iki mu gutanga uru rugero?” Aruyobesha benshi (abarekera mu buyobe bahisemo), ndetse akanaruyoboresha benshi; kandi nta bandi aruyobesha uretse inkozi z’ibibi gusa.",""
34,2,27,"27. Ba bandi bica isezerano rya Allah[4] nyuma yo kuryemeza, bakanatanya ibyo Allah yategetse ko byungwa (ubuvandimwe no kudatanya imiryango) kandi bagakora ubwangizi ku isi; abo ni bo banyagihombo.","[4] Isezerano rya Allah rivugwa hano, ni uko nta yindi mana ikwiye kugaragirwa by’ukuri uretse Allah nk’uko byigishijwe n’Intumwa zose za Allah."
35,2,28,"28. Ni gute mwahakana Allah, kandi mutari muriho akabaha ubuzima (abarema), hanyuma akabubambura ndetse akazanabubasubiza (ku munsi w’izuka), nuko mugasubizwa iwe?",""
36,2,29,"29. Ni We wabaremeye ibiri ku isi byose, hanyuma yerekera ku kirere akiremamo ibirere birindwi (bitunganye), kandi ni we Mumenyi uhebuje wa buri kintu.",""
37,2,30,"30. Unibuke (yewe Muhamadi) ubwo Nyagasani wawe yabwiraga abamalayika ati “Mu by’ukuri, ngiye gushyira umusigire (ikiremwamuntu) ku isi.” Baravuga bati “Ese urayishyiraho uzayikoreraho ubwangizi akanamena amaraso, kandi twe tugusingiza tukanagushimira ndetse tukanagutagatifuza? (Allah) aravuga ati “Mu by’ukuri, Njye nzi ibyo mutazi.”",""
38,2,31,"31. Nuko (Allah) yigisha Adamu amazina y’ibintu byose, hanyuma abimurikira abamalayika, arababwira ati “Ngaho nimumbwire amazina yabyo niba muri abanyakuri.”",""
39,2,32,"32. Baravuga bati “Ubutagatifu ni ubwawe, nta bumenyi dufite uretse ubwo watwigishije. Mu by’ukuri, ni Wowe Mumenyi uhebuje, Nyirubugenge buhambaye.”",""
40,2,33,"33. Aravuga ati “Yewe Adamu! Babwire amazina yabyo.” Nuko amaze kubabwira amazina yabyo, (Allah) aravuga ati “Ese sinababwiye ko nzi ibyihishe mu birere no mu isi, kandi nkaba nzi ibyo mugaragaza n’ibyo muhisha?”",""
41,2,34,"34. Kandi muzirikane ubwo twabwiraga abamalayika tuti “Nimwubamire[5] Adamu”, nuko bose bakubama uretse Ibilisi (Shitani) wanze akishyira hejuru nuko akaba mu bahakanyi (banze kumvira Allah).","[5] Ukubama kuvugwa hano ni indamutso y’icyubahiro gihebuje."
42,2,35,"35. Twaranavuze tuti “Yewe Adamu! Tura mu Ijuru wowe n’umugore wawe, murye (imbuto zirimo) mu mudendezo aho mushatse hose, ariko muramenye ntimuzegere iki giti mutazaba mu banyamahugu.”",""
43,2,36,"36. Nuko Shitani arabashuka (barya kuri cya giti), abakura mu byo bari barimo (ubuzima bwo mu ijuru). Turababwira tuti “Mumanuke muvemo (mu Ijuru) muri abanzi hagati yanyu (Shitani azaba umwanzi wanyu n’abazabakomokaho).” Isi ni yo izaba ubuturo bwanyu, kandi muzayigiramo umunezero kugeza igihe cyagenwe.”",""
44,2,37,"37. Nuko Adamu yakira amagambo (yo kwicuza) avuye kwa Nyagasani we[6], maze Nyagasani yakira ukwicuza kwe. Mu by’ukuri, ni We Uwakira ukwicuza, Nyirimbabazi.","[6] Amagambo avugwa muri uyu murongo, ni amagambo Allah yigishije Adamu kugira ngo amenye uburyo bwo kwicuza. Ayo magambo aboneka muri Qur’an, igice cya 7, umurongo wa 23."
45,2,38,"38. Turavuga tuti “Nimumanuke muve aha mwese. Kandi nimuramuka mugezweho n’umuyoboro unturutseho, abazakurikira umuyoboro wanjye nta bwoba ndetse nta n’agahinda bazigera bagira.”",""
46,2,39,"39. Naho abazahakana bakanahinyura ibimenyetso byacu (amagambo, inyigisho n’ubuhanuzi), abo bazaba abo mu muriro; bakazawubamo ubuziraherezo.",""
47,2,40,"40. Yemwe bene Isiraheli![7] Nimwibuke ingabire zanjye nabahundagajeho, maze mwuzuze isezerano ryanjye (ryo kwemera ibitabo n’Intumwa zanjye), kugira ngo nanjye nuzuze iryanyu (ryo kubagirira impuhwe ku isi no kuzabarokora ku munsi w’imperuka), kandi mube ari Njye njyenyine mutinya.","[7] Isiraheli ni umuhanuzi wa Allah, akaba ari we Yakobo mwene Isaka mwene Aburahamu, ari na we Abayahudi bakomokaho."
48,2,41,"41. Kandi mwemere ibyo nahishuye (Qur’an) bishimangira ibyo mufite (Tawurati), ndetse ntimuzabe aba mbere babihakana. Ntimuzanagurane amagambo yanjye igiciro gito, kandi abe ari Njye jyenyine mutinya.",""
49,2,42,"42. Kandi ntimuzavange ukuri n’ikinyoma, cyangwa ngo muhishe ukuri kandi mukuzi.",""
50,2,43,"43. Munahozeho iswala (z’itegeko)[8], munatange amaturo (Zakat y’itegeko)[9] kandi mwuname hamwe n’abunama (mukora iswala).","[8] Reba uko twasobanuye umurongo wa 3 muri iyi Surat.
[9] Zakat ni ituro, rikaba ari igeno rizwi Umuyisilamu ategekwa gutanga mu mitungo yabugenewe, rigahabwa abantu bari mu byiciro umunani byavuzwe muri Qur’an, igice cya 9:60."
51,2,44,"44. Ese mubwiriza abantu gukora ibyiza mwe mukiyibagirwa, kandi mwe musoma igitabo (Tawurati)? Ese nta bwenge mugira?",""
52,2,45,"45. Kandi mujye mwifashisha (muri gahunda zanyu zose) ukwihangana n’iswala[10]; n’ubwo mu by’ukuri bigoye uretse ku bibombarika.","[10] Reba uko twasobanuye umurongo wa 3 muri iyi Surat."
53,2,46,"46. (Abo ni) ba bandi bizera ko bazahura na Nyagasani wabo, kandi ko bazasubira iwe (ku munsi w’imperuka).",""
54,2,47,"47. Yemwe bene Isiraheli! Nimwibuke ingabire zanjye nabahundagajeho, kandi munibuke ko nabarutishije ibindi biremwa (byo ku gihe cyanyu).",""
55,2,48,"48. Munatinye umunsi umuntu atazagira icyo amarira undi, ubuvugizi bwe ntibwemerwe, ndetse n’ingurane ye (yo kwigura ngo adahanwa) ntiyakirwe, kandi nta n’ubwo bazatabarwa.",""
56,2,49,"49. (Munibuke) ubwo twabakizaga abantu bo kwa Farawo, ubwo babakoreraga ubugome ndengakamere; bica abana banyu b’abahungu bagasiga abakobwa banyu, kandi muri ibyo harimo ikigeragezo gihambaye gituruka kwa Nyagasani wanyu.",""
57,2,50,"50. (Munibuke) ubwo twabatandukanyirizaga inyanja tukabarokora, hanyuma tukaroha abantu bo kwa Farawo mubyibonera.",""
58,2,51,"51. (Munibuke) ubwo twasezeranyaga Musa igihe kingana n’amajoro mirongo ine (kugira ngo ahabwe Tawurati), maze (mu gihe atari ahari) mufata akamasa (muragasenga), nuko muba inkozi z’ibibi.",""
59,2,52,"52. Nuko nyuma y’ibyo, turabababarira kugira ngo mushimire.",""
60,2,53,"53. (Munibuke) ubwo twahaga Musa igitabo (Tawurati) gitandukanya ukuri n’ikinyoma, kugira ngo muyoboke (by’ukuri).",""
61,2,54,"54. (Munibuke) ubwo Musa yabwiraga abantu be ati “Yemwe bantu banjye! Mu by’ukuri, mwarihemukiye ubwo mwafataga akamasa (mwibumbiye) mukakagira ikigirwamana. Ngaho nimwicuze ku Muremyi wanyu, maze mwicane (abatarabangikanyije Allah muri mwe bice abamubangikanyije nk’igihano kuri bo)[11]; ibyo ni byo byiza kuri mwe imbere y’Umuremyi wanyu (aho gushyirwa mu muriro w’iteka).” Nuko Allah yakira ukwicuza kwanyu. Mu by’ukuri, ni we Uwakira ukwicuza, Nyirimbabazi.","[11] Ubu buryo bwo kwicuza abantu babanje kwicana, ni bwo bwakoreshwaga muri icyo gihe, ariko Imana yaje kubusimbuza kwicuza habayeho gusaba Imana imbabazi ku byaha umuntu yakoze."
62,2,55,"55. (Munibuke) ubwo mwavugaga muti “Yewe Musa! Ntituzigera tukwemera keretse tubonye Allah imbona nkubone”; maze mukubitwa n’ikibatsi cy’umuriro w’inkuba (kirabica) mwirebera.",""
63,2,56,"56. Nuko turabazura nyuma yo gupfa, kugira ngo mushimire.",""
64,2,57,"57. Twanabugamishije mu gicucu cy’igicu (igihe mwayobagurikaga mu butayu muvuye mu Misiri), tunabamanurira amafunguro ya Manu[12] na Saluwa[13], (tubabwira tuti) “Nimurye mu byiza twabafunguriye,” (ariko babirenzeho barahakana). Nyamara ntabwo ari twe bagiriye nabi ahubwo ni bo ubwabo bihemukiye.","[12] Manu: ni ubukozo buryohera nk’ubuki, buva mu giti cyo mu bwoko bwitwa Tamarsk cyera mu karere ka Sinayi.
[13] Saluwa: Ni uruhuri rw’ubwoko bw’inyoni zitwarwa n’imiyaga mu burasirazuba bwa Mediterane. Izo nyoni bazohererezwaga na Allah kugira ngo bazibage bazirye."
65,2,58,"58. Munibuke ubwo twavugaga tuti “Mwinjire muri uyu mudugudu (Yeruzalemu), hanyuma murye ibiwurimo mu mudendezo, muninjire mu marembo yawo mwicishije bugufi, munavuge muti “Tubabarire ibyaha byacu”, tuzabababarira ibyaha byanyu, kandi tuzongerera (ingororano) abakora ibyiza.",""
66,2,59,"59. Nuko abigometse bahindura imvugo bakora ibyo batabwiwe (aho gusaba imbabazi no kwicisha bugufi, barushaho kwigomeka). Nuko abakoze ibibi tubamanurira igihano giturutse mu kirere kubera ubukozi bw’ibibi bwabo.",""
67,2,60,"60. (Munibuke) ubwo Musa yasabiraga abantu be amazi (ubwo bari bishwe n’inyota) nuko tukamubwira tuti “Kubita inkoni yawe ku ibuye.” (Arikubise) riturikamo amasoko cumi n’abiri, nuko buri muryango umenya isoko unyweraho. (Turababwira tuti) “Nimurye kandi munywe ku mafunguro aturutse kwa Allah, kandi ntimugakwize ubwangizi ku isi.",""
68,2,61,"61. Munibuke ubwo mwavugaga muti “Yewe Musa! Ntituzihanganira indyo imwe, ku bw’ibyo dusabire Nyagasani wawe adukurire mu butaka ibyo bwera; mu mboga, imyungu, ingano, inkori, ibitunguru bibuturukamo.” (Musa) aravuga ati “Ese murahitamo ibiciriritse mukareka ibyiza? Ngaho nimujye mu mudugudu uwo ari wo wose muzabonamo ibyo mwasabye!” Nuko bahanishwa gusuzugurika n’ubukene, kandi bagenda barakariwe na Allah. Ibyo byatewe n’uko bahakanaga amagambo ya Allah, bakanica abahanuzi babarenganyije. Ibyo byatewe n’uko bigometse bakanarengera (imbago za Allah).",""
69,2,62,"62. Mu by’ukuri ba bandi bemeye (ubutumwa bwa Muhamadi), Abayahudi (abemeye ubutumwa bwa Musa ku gihe cye), Abanaswara (abemeye ubutumwa bwa Isa (Yesu) ku gihe cye)[14] n’Abaswaabi’i (abagumye kuri kamere yabo yo kwemera Imana batagira idini bayobotse muri icyo gihe), (muri abo bose) abemeye Allah by’ukuri, bakemera umunsi w’imperuka ndetse bakanakora ibitunganye, abo bazagororerwa ibihembo kwa Nyagasani wabo, kandi nta bwoba ndetse nta n’agahinda bazagira.","[14] Iyi nyito Abanaswara, ubusanzwe ni ijambo ry’icyarabu A-Naswara rikomoka ku izina ry’Umujyi A-Naaswirat ari wo Nazareti umwe mu mijyi igize igihugu cya Palesitina, ukaba ari na wo mujyi Yesu yakomokagamo. Bishatse gusobanura ko Abanaswara ari abakurikiye uwavukiye i Nazareti. Iyi nyito hamwe n’Abahawe igitabo (Ahlul Kitab) ni zo nyito zikoreshwa muri Qur’an no mu nyigisho z’Intumwa y’Imana (Hadithi), ndetse no mu bitabo bya Kisilamu byo hambere, zigamije kuvuga Abakurikiye ubutumwa bw’Intumwa y’Imana Yesu (Issa) Imana imuhundagazeho amahoro. Niyo mpamvu n’ahandi hose hari buvugwe abakurikiye Yesu bari buvugwe mu mirongo ya Qur’an turi bukoreshe inyito Abanaswara."
70,2,63,"63. Munibuke (yemwe bene Isiraheli) ubwo twakiraga isezerano ryanyu (ryo kubahiriza amategeko ya Tawurati), tukanazamura umusozi hejuru yanyu (tugiye kuwububikaho), (turababwira tuti) “Ngaho nimwakire ibyo twabahaye (Tawurati) mubikomeze, kandi muzirikane ibirimo kugira ngo mugandukire Imana.”",""
71,2,64,"64. Nyuma murongera mubitera umugongo. Iyo bitaza kuba ineza n’impuhwe bya Allah kuri mwe, mwari kuba mu banyagihombo.",""
72,2,65,"65. Kandi mu by’ukuri mwamenye bamwe muri mwe barengereye isabato[15], nuko turababwira tuti “Nimube inkende musuzuguritse.”","[15] Abayisiraheli bategetswe kutagira icyo bakora ku isabato uretse kugaragira Imana byonyine. Nyuma bamwe muri bo babirenzeho bakoresheje amayeri bakaraza imitego yo kuroba amafi mu nyanja kuwa gatanu bakayitegura ku cyumweru, abandi bakabikora ku mugaragaro."
73,2,66,"66. Nuko (icyo gihano) tukigira isomo ku bariho icyo gihe no ku bazabaho nyuma yabo, binaba inyigisho ku batinya (Allah).",""
74,2,67,"67. Munibuke ubwo Musa yabwiraga abantu be ati “Mu by’ukuri, Allah abategetse kubaga inka.” Baravuga bati “Ese uradukinisha?” (Mussa) aravuga ati “Nikinze kuri Allah ngo andinde kuba mu njiji.”",""
75,2,68,"68. Baravuga bati “Dusabire Nyagasani wawe adusobanurire imiterere y’iyo nka.” Aravuga ati “Mu by’ukuri, (Allah) avuze ko ari inka itari ijigija ntibe n’umutavu; ahubwo ibe iri hagati y’izo zombi. Ngaho nimukore ibyo mutegetswe.”",""
76,2,69,"69. Baravuga bati “Dusabire Nyagasani wawe adusobanurire ibara ryayo.” Aravuga ati “Mu by’ ukuri, avuze ko ari inka y’igaju, y’ibara rikeye cyane, ishimisha abayireba.”",""
77,2,70,"70. Baravuga bati “Dusabire Nyagasani wawe adusobanurire iyo ari yo, kuko rwose inka (zimeze zityo ni nyinshi) zaduteye urujijo, kandi mu by’ukuri Allah nabishaka turayimenya.”",""
78,2,71,"71. Aravuga ati “Mu by’ukuri, (Allah) avuze ko ari inka itarigeze ikoreshwa imirimo yo guhinga ndetse no kuhira imyaka; ni inziranenge itagira icyasha.” (Nyuma yo kuyibona), baravuga bati “Noneho uvuze ukuri.” Nuko barayibaga, n’ubwo bari hafi yo kutabikora.",""
79,2,72,"72. (Munibuke) ubwo mwicaga umuntu mukitana bamwana. Ariko Allah yashyize ahagaragara ibyo mwahishaga.",""
80,2,73,"73. Turababwira tuti “(Uwishwe) nimumukubite bimwe mu bice byayo (inka), (babimukubitishije arazuka).” Uko ni ko Allah azura abapfuye, kandi akabereka ibitangaza bye kugira ngo musobanukirwe.",""
81,2,74,"74. Maze nyuma yaho imitima yanyu irinangira imera nk’amabuye, cyangwa se ikomera kurushaho; kuko mu by’ukuri, mu mabuye harimo aturikamo imigezi, hari n’ayandi yiyasa akavamo amazi, ayandi na yo agahanuka kubera gutinya Allah. Kandi Allah ntabwo ayobewe ibyo mukora.",""
82,2,75,"75. Ese (mwe abemera) mwizera ko (abo Bayahudi) bakwemera idini ryanyu, kandi bamwe muri bo (abamenyi babo) barajyaga bumva amagambo ya Allah (Tawurati) bakayahindura (ku bwende) nyuma yo kuyasobanukirwa?",""
83,2,76,"76. Kandi iyo bahuye n’abemeye baravuga bati “Twaremeye” (ko Muhamadi ari Intumwa y’ukuri kandi yahishuwe mu gitabo cyacu cya Tawurati) . Nyamara bakwiherera bari bonyine bakabwirana bati “Ese murabaganirira ibyo Allah yabahishuriye (ihanurwa ry’Intumwa Muhamadi muri Tawurati) kugira ngo bazabibashinjishe kwa Nyagasani wanyu? Ese nta bwenge mugira?”",""
84,2,77,"77. Ese bayobewe ko Allah azi ibyo bahisha n’ibyo bagaragaza?",""
85,2,78,"78. No muri bo (Abayahudi) hari abatarize batazi gusoma no kwandika, ntibanamenye igitabo (Tawurati), uretse ukwizera kujyanye n’ibyifuzo bidafite ishingiro; ahubwo barangwa no gukeka gusa.",""
86,2,79,"79. Hagowe ba bandi biyandikira igitabo n’amaboko yabo, nyuma bakavuga bati “Iki giturutse kwa Allah” bagamije kukigurana ikiguzi gito (indonke z’isi), bazabona akaga gakomeye kubera ibyo amaboko yabo yanditse, kandi bazabona akaga gakomeye kubera izo ndonke babona.",""
87,2,80,"80. (Abayisiraheli) baranavuze bati “Umuriro ntuzadukoraho uretse iminsi mbarwa.” Vuga uti “Ese mwagiranye isezerano na Allah atagomba gutatira, cyangwa muvuga ibyo mutazi kuri Allah?”",""
88,2,81,"81. Si ko biri! Ukoze ikibi akaba imbata y’ibyaha bye; abo ni abantu bo mu muriro, bazawubamo ubuziraherezo.",""
89,2,82,"82. Na ba bandi bemeye bakanakora ibikorwa byiza; abo ni abantu bo mu ijuru, bazaribamo ubuziraherezo.",""
90,2,83,"83. Munibuke ubwo twakiraga isezerano rya bene Isiraheli (rigira riti) “Ntimuzasenge ikindi kitari Allah, muzagirire neza ababyeyi bombi, abo mufitanye isano, imfubyi n’abakene, muvugane n’abantu mukoresheje imvugo nziza, muhozeho iswala[16], kandi mutange amaturo. Nuko mutera umugongo (amategeko yacu) munirengagiza (isezerano ryacu) uretse bake muri mwe.”","[16] Reba uko twasobanuye umurongo wa 3 muri iyi Surat."
91,2,84,"84. Munibuke ubwo twakiraga isezerano ryanyu ry’uko mutazamena amaraso (ya bagenzi banyu), ko mutazanameneshanya mu ngo zanyu; maze murabyemera muranabihamya.",""
92,2,85,"85. Nyuma mwe ubwanyu (mubirengaho) muricana, munamenesha bamwe muri mwe mu ngo zabo, munashyigikirana mu kubakorera ubuhemu n’ubugome. N’iyo babagannye barafatiwe ku rugamba mubatangira ingurane zo kubabohora kandi ari ikizira kuri mwe kubamenesha[17]. Ese mwemera bimwe mu gitabo (Tawurati) mugahakana ibindi? Nta kindi gihembo cy’ukora ibyo muri mwe uretse igisebo mu buzima bwo ku isi, ndetse no ku munsi w’imperuka bazashyirwa mu bihano bikomeye cyane. Kandi Allah ntabwo ayobewe ibyo mukora.","[17] I Madina hari amoko abiri ari yo Awusi na Khaziraji, ayo moko yombi mbere y’uko ayoboka Isilamu yahoraga ashyamiranye, Abayahudi bari batuye i Madina baje gucikamo ibice bibiri, bamwe bifatanya n’ubwoko bwa Awusi abandi na bo bifatanya n’ubwoko bwa Khaziraji. Iyo ayo moko yarwanaga Abayahudi bari ku ruhande rumwe bicaga bene wabo bo ku rundi ruhande. Iyo hagiraga Abayahudi bafatwa bunyago mu ntambara ku ruhande rumwe, bene wabo bo ku rundi ruhande babatangiraga ingurane zo kubabohora. Aha niho babwirwa bati “Niba mubohoza imbohe z’Abayahudi kubera gukurikiza Tawurati, kubera iki mwicana mukanameneshanya kandi na byo bibujijwe muri Tawurati?”"
93,2,86,"86. Abo ni bo bahisemo ubuzima bwo ku isi babugurana ubw’imperuka. Ntabwo bazoroherezwa ibihano ndetse nta n’ubwo bazatabarwa.",""
94,2,87,"87. Mu by’ukuri, twahaye Musa igitabo (Tawurati) tunakurikizaho izindi Ntumwa nyuma ye, tunaha Isa (Yesu) mwene Mariyamu (Mariya) ibimenyetso bigaragara, tunamushyigikiza Roho Ntagatifu [Malayika Jibril (Gaburiheli)]. Ese kuki buri uko Intumwa ibazaniye ibyo imitima yanyu itifuza mwibona, maze zimwe mukazihinyura izindi mukazica!?",""
95,2,88,"88. Kandi (Abayahudi ubwo Intumwa Muhamadi yabagezagaho ubutumwa) baravuze bati “Imitima yacu irapfundikiye (iradanangiye ntiyumva amagambo yawe).” Ahubwo Allah yarabavumye kubera ubuhakanyi bwabo, dore ko ibyo bemera ari bike.",""
96,2,89,"89. N’igihe bagerwagaho n’igitabo (Qur’an) giturutse kwa Allah, gishimangira ibyo bafite (ihishurwa ry’ubutumwa bw’Intumwa Muhamadi muri Tawurati, barabihakanye), kandi mbere (yo kuza kw’Intumwa Muhamadi) barabyifashishaga nk’ingabo basaba Allah gutsinda abahakanyi. Ariko bamaze kugerwaho n’ibyo bari baramenye (ubutumwa bwa Muhamadi) barabihakanye. Ku bw’ibyo, umuvumo wa Allah ube ku bahakanyi.",""
97,2,90,"90. Mbega ukuntu ibyo bihitiyemo ubwabo ari bibi, ubwo bahakanaga ibyo Allah yahishuye bitewe n’ishyari ry’uko Allah ahundagaza ibyiza bye ku wo ashaka mu bagaragu be! Ku bw’ibyo, bagezweho n’uburakari bwiyongera ku burakari, kandi abahakanyi bazahanishwa ibihano bisuzuguza.",""
98,2,91,"91. N’iyo babwiwe bati “Nimwemere ibyo Allah yahishuye (ubutumwa bwa Muhamadi)”, baravuga bati “Twemera ibyo twahishuriwe” (binyuze ku Ntumwa zacu); bagahakana ibyahishuwe nyuma (Qur’an) kandi ari ukuri gushimangira ibyo bafite (Tawurati). Babwire (yewe Muhamadi) uti “Niba koko mwari abemera by’ukuri, kuki mbere mwicaga abahanuzi ba Allah?”",""
99,2,92,"92. Kandi mu by’ukuri, Musa yabazaniye ibimenyetso bisobanutse, nyuma mufata akamasa mukagira ikigirwamana mu gihe atari ahari, kandi mwari ababangikanyamana.",""
