"Translation Info:
#---------------------------
17,2,10,"Onnee isaanii keessa dhukkuba [shakkiifi nifaaqaatu] jiraRabbiinis dhukkuba isaaniif dabaleWaan kijibaa turaniif jechas adabbii laalessaa ta’etu isaaniif jira",""
18,2,11,"Yeroo ""Dachii keessatti badii hin raawwatinaa"" isaaniin jedhames ""nuti warra tolchu qofa"" jedhu.",""
19,2,12,"Dhagayaa! Dhugumatti isaan isaanumatu warra badiitiGaruu [haala gadhee isaanii kana] hin beekanu.",""
20,2,13,"Yeroo ""akka namoonni amananitti amanaa"" isaaniin jedhames, ""sila nuti akka warri gowwaan amananitti amannaa?"" jedhuDhagayaa! dhugumatti isaan isaanumatu gowwootaGaruu isaan hin beekan.",""
21,2,14,"Yeroo warra amanan qunnaman ""nuti amanneerra"" jedhuYeroo sheyxaanota (hoggantoota) isaanii waliin kophaa ba’an immoo ""dhugumatti nuti isin waliin jirra; nuti isaanitti qishnuma (qoosaa) godhuuf [akkas goone]"" jedhu.",""
22,2,15,"Rabbiin [mindaa qishnaa isaaniitiif] isaanitti qishnaa godha; jallina isaanii keessatti odoo isaan dhama’anuu isaan dhiisa.",""
23,2,16,"Isaan warra jallina qajeelumaan bitataniidhaDaldalli isaaniis bu’aa dhabeIsaanis warra qajeelan hin turre.",""
24,2,17,"Fakkeenyi isaanii akka fakkii isa ibidda qabsiifatee, yeroma isheen waan naannoo isaa ibsitu Rabbiin ifaa isaanii adeemsisee dukkana keessatti haala hin argineen isaan dhiiseeti",""
25,2,18,"[Isaan] duudaa, arraba qabamaafi jaamaadhaKanaafuu [gara karaa qajeelaa] hin deebi’anu.",""
26,2,19,"Yookiin akka bokkaa cimaa samii irraa ta’ee kan isa keessa dukkanni, kakawwee (mandiisuu)fi calanqeen (hangaasuun) jiru, du’a bakakkaa irraa ta’e sodaaf quba gurra isaanii keessa kaa’atuRabbiinis kaafirootatti marsaadha.",""
27,2,20,"Calanqichi ija isaanii butuutti dhiyaataDhawaata isaaniif ifuun isa keessa deemuYeroo isaan irratti dukkanaa’e immoo ni dhaabatuRabbiin odoo fedhee dhageettiifi agartuu isaanii ni deemsisa tureDhugumatti, Rabbiin waan hunda irratti danda’aadha",""
28,2,21,"Yaa namootaa! Akka Rabbiin sodaattaniif jecha gooftaa keessan isa isiniifi warra isiniin duraa uume qofa gabbaraa!",""
29,2,22,"[Rabbiin] Isa dachii afata, samii immoo ijaarsa (gubbaa) isiniif taasisee, kan samii irraa bishaan buusee ergasii isaan fuduraa irraa soorata isiniif baaseedhaKanaafuu odoo [kan gabbaramuun malu Rabbiin qofa ta’uu] beektanuu Rabbiif shariikota hin godhinaa.",""
30,2,23,"Yoo waan Nuti gabricha keenya irratti buufne (Qur’aana) irraa mamii keessa taataniif, yoo kan dhugaa dubbattan taataniif, suuraa akka isaa [tokko] fidaatii ragoota (gargaartotaafi deeggartoota) keessan kan Rabbiin ala jiranis waamadhaa.",""
31,2,24,"Yoo [amma dura] hin dalagin; fuuldurattis hin dalagdanu; kanaafuu ibidda qabsiisaan ishee namaafi dhagaa ta’e kan kaafirootaaf qopheeffamte sodaadhaa.",""
32,2,25,"Isaan amananii, gaggaarii hojjatan, jannatoonni laggeen jala ishee yaatu isaaniif jira jechuun [isaan] gammachiisiDhawaatuma firii ishee irraa sooramaniin ""kun soorata kana dura sooramneedha"" jedhuWal fakkaataa ta'ee isaaniif kennameIsaaniif ishee keessa haadholeen manaa qulqulleeffamanis ni jiruIsaanis ishee keessatti hafoodha",""
33,2,26,"Dhugumatti Rabbiin bookees taatee waan ishee irra guddaa (yookiin xiqqaa) fakkeenya taasisuu hin saalfatuWarri amanan akka inni dhugaa Gooftaa isaanii irraa ta’e ni beekuIsaan kafaran immoo ""Rabbiin fakkeenya kanatti maal fedhe?"" jedhu[Rabbiin] kanaan (namoota) baay’ee jallisee (namoota) baay’ees qajeelchaFinciltoota malees (kan biraa) ittiin hin jallisu",""
34,2,27,"[Isaan] warra waadaa Rabbii erga kakuun jabeessanii booda diiganii, waan (firummaa) Rabbiin fufamuu isaatti ajaje kutanii, dachii keessatti badii raawwataniidhaWarri sun hoonga’oon isaanuma.",""
35,2,28,"Sila odoo Inni haala isin du’aa turtaniin isin jiraachisee ergasii isin ajjeesee ergasii isin jiraachisuun ergasii gara Isaatti kan deebifamtanu taatanii jirtanuu akkamitti Rabbitti kafartu?",""
36,2,29,"Inni (Rabbiin) Isa waan dachii keessa jiru hunda isiniif uumee ergasii gara samii ol ta’ee samii torba isaan taasiseedhaInni waan hunda akkaan beekaadha.",""
37,2,30,"Yeroo Gooftaan kee malaa’ikootaan ""dhugumatti, Ani (ilmaan namaa) dachii keessatti bakka bu’aa (khaliifaa) taasisuufan jira"" jedhes [yaadadhu]Isaanis ni jedhan: ""Sila odoo nuti galata keetiin si faarsinuufi si qulqulleessinuu namoota ishee (dachii) keessatti badii dalagan, kan dhiiga (walii) dhangalaasan ishee keessatti taasiftaa?"" [Innis] ni jedhe: ""Dhugumatti, Ani akkaan beekaa waan isin hin beekneti.""",""
38,2,31,"Aadamiinis maqoota [waan] hundaa isa barsiiseErgasii malaa’ikoota irra isaan fideetiin ""yoo kan dhugaa dubbattan taataniif maqoota wantoota kanneenii naaf odeessaa” jedhe",""
39,2,32,"[Malaa’ikoonnis] ni jedhan: ""Ati qulqulloofteNu waan Ati nu barsiifte malee beekumsa hin qabnu; dhugumatti, Ati Simatu akkaan beekaa ogeessa.""",""
40,2,33,"[Rabbiin] ni jedhe: ""Yaa Aadam! maqoota isaanii isaanitti himi."" Yeroma inni maqoota isaanii isaanitti himu [Rabbiin] ni jedhe: ""Sila Ani akkaan beekaa wantoota fagoo kan samiifi dachiiti; ammas Ani akkaan beekaa waan isin ifa taasiftaniifi waan isin dhoksaa turtaniiti’ isiniin hin jennee?""",""
41,2,34,"Yeroo Nuti malaa’ikootaan ""Aadamiif sujuuda[] godhaa"" jennes [yaadadhu]Ibliisa malee Isaan sujuuda godhan; [Inni] ni dide; ni boonesKaafiroota irraayis ta’e.",""
42,2,35,"Ni jennes: ""Yaa Aadam! Atiifi haati manaa kee jannata keessa jiraadhaaIshee irraa bal'oo haala taateen iddoo feetanii nyaadhaaMukattii kanatti immoo hin dhiyaatinaaYoos miidhaa hojjattoota irraa taatu.""",""
43,2,36,"Shayxaannis ishee (jannata) irraa isaan mucucaachiseWaan isaan isa keessa turan irraas isaan baaseNutis ni jenne: ""gariin keessan gariif diina ta’aa gadi bu’aaIsiniifis dachii keessa iddoo jireenyaatiifi waan itti fayyadamtan kan yeroo murtaa’eetu jira.""",""
44,2,37,"Aadamis Gooftaa isaa irraa jechoota[] fudhatee sana booda [Rabbiin] dhiifama isaaf godheDhugumatti, Inni (Rabbiin) Isatu akkaan tawbaa qeebalaa, akkaan rahmata godhaadha.",""
45,2,38,"Nuti ni jenne: ""Hundi keessanuu ishee (jannata) irraa gadi bu’aaErgasii yoo Ana irraa qajeelfamni isiniif dhufe, namni qajeelfama kiyya hordofe, sodaan isaan irra hin jiru; isaan hin gaddanus.""",""
46,2,39,"Warri kafaranii keeyyattoota keenyas kijibsiisan, isaan sun warra ibiddaatiIsaan ishee keessatti hafoodha.",""
47,2,40,"Yaa Ilmaan Israa’iil! Ni’imaa kiyya kan Ani ittiin isin qanansiise yaadadhaaWaadaa kiyyas[] guutaa; Anis waadaa keessan nan guutaAna qofa sodaadhaas!",""
48,2,41,"Waan Ani buuse kan mirkaneessaa waan isin bira jiruu (Tawraatiifi Injiil) ta’ettis amanaaJalqaba warra isatti kafaruu hin ta’inaaKeeyyattoota kiyyaanis gatii xiqqaa hin bitatinaaAna qofa sodaadhaa.",""
49,2,42,"Odoo beektanii dhugaa sobaan [walitti] hin makinaa; haqa hin dhoksinaas.",""
50,2,43,"Salaata seeraan salaataa; zakaas kennaa; warra rukuu’a godhan wajjinis rukuu’a godhaa.",""
51,2,44,"Sila odoo kitaaba dubbiftanuu gaariitti nama ajajaa lubbuu keessan dagattuu! Sila hin xiinxaltanuu!",""
52,2,45,"Obsaafi salaataan gargaarsa barbaadaaDhugumatti, isheen warra [Rabbiin] sodaatan irratti malee ulfaattuudha.",""
53,2,46,"[Isaan] warra Gooftaa isaanii wajjiin wal qunnamuufi gara Isaatti deebi’uu mirkaneeffataniidha.",""
54,2,47,"Yaa Ilmaan Israa’iil! Ni’imaa kiyya kan Ani isinii ooleefi kan Ani aalama hunda irra isin caalchise [yaadadhaa].",""
55,2,48,"Guyyaa lubbuun [tokko] lubbuu (biraa) homaa hin fayyadne, kan jaarsummaan (araarsi) ishee irraa hin fudhatamneefi gumaanis ishee irraa hin fuudhamne, kan isaanis hin tumsamne san sodaadhaa.",""
56,2,49,"Ammas yeroo Nuti ummata Fir’awn kan hamtuu adabbii isin dhandhamsiisaa turan, ilmaan dhiiraa keessan gorra’aniifi dubartoota keessan dhiisan irraa bilisa isin baafne san [yaadadhaa]Sana keessa balaa guddaa Gooftaa keessan irraa ta’etu jira.",""
57,2,50,"Yeroo bahra isiniif addaan foonee, ergasii bilisa isin baafnee ummata Fir’awn odoo isin argitanuu bishaaniin dhidhimsine sanis [yaadadhaa].",""
58,2,51,"Yeroo Muusaaf halkan afurtama beellamnes [yaadadhaa]Ergasii isin bakka inni hin jirretti warra of miidhe taatanii mirgoo (jibicha) [gabbaramaa] taasifattan.",""
59,2,52,"Ergasii sana booda akka isin galateeffataniif jecha dhiifama isiniif goone.",""
60,2,53,"|Yeroo Muusaaf kitaaba (Tawraatii)fi addaan fooyaa dhugaafi kijibaa akka isin qajeeltaniif jecha kennines [yaadadhaa].",""
61,2,54,"Yeroo Muusaan ummata isaatiin ""yaa ummata kiyya! isin mirgoo [gabbaramaa] taasifachuun lubbuu keessan miitanii jirtanKanaaf gara [Rabbii] uumaa keessan ta’eetti deebi’aaLubbuu keessanis ajjeesaaSanatu Uumaa keessan biratti isiniif caala"" jedhes [yaadadhaa]Ergasii [Rabbiin] dhiifama isinii godhe (tawbaa keessan qeebale)Dhugumatti, Inni akkaan tawbaa qeebalaa akkaan rahmata godhaadha.",""
62,2,55,"Yeroo isin ""yaa Muusaa! nuti hanga Rabbiin ifatti arginutti siif hin amannu"" jettanii odoo isin argitanuu duuti isin qabattes [yaadadhaa].",""
63,2,56,"Ergasii akka isin galateeffattaniif jecha booda du’a keessaniitii isin kaafne.",""
64,2,57,"Duumessa isin irratti gaaddiseessineManniifi Salwiis[] isin irratti buufne""Wantoota gaggaarii Nuti isiniif kennine irraa nyaadhaa"" (isiniin jenne)Isaanis homaa nu hin miine; garuu lubbuu isaanii kan miidhan turan",""
65,2,58,"Yeroo Nuti ""magaalattii[] kana seenaa; ishee irraas iddoo feetanii [nyaata] bal’aa nyaadhaaBalbalichas sujuudaa seenaa""[Kadhaan keenyas badiin] nurraa harca'uudha"" jedhaa, badii keessan isiniif araaramnaWarra toltuu hojjataniif [mindaa] dabaluuf jirra"" jennes [yaadadhaa].",""
66,2,59,"|Warri miidhaa hojjatan [jecha isaaniin jedhame] jecha isa isaaniin hin jedhaminitti jijjiiranWaan isaan fincilaa turaniif jecha warra miidhaa hojjatan irratti adabbii samii irraa ta'e buufne.",""
67,2,60,"Yeroo Muusaan ummata isaatiif dhugaatii (bishaan) barbaadee achumaan Nutis ""ulee keetiin dhagicha rukuti"" jennaan burqituun kudha lama isa irraa maddite [yaadadhaa]Namoonni hundi iddoo irraa dhugan beekanii jiru""Soorata Rabbii irraa nyaadhaa, dhugaa; Dachii keessas badii hin babal’isinaa"" [jenneen].",""
68,2,61,"Yeroo ""Yaa Muusaa! nuti nyaata tokko irratti hin obsinuu, akka waan dachiin biqilchitu irraa, kudraa ishee irraa, dabaaqula ishee irraas, qamadii ishee irraas, misira ishee irraas, shunkurtii ishee irraas nuuf baasu Gooftaa kee nuuf kadhu"" jettanis [yaadadhaa](Muusaanis) ni jedhe: ""Sila isin isa gadi aanaa ta’etti isa caalaa ta’e jijjiirrattuu? Gara magaalaa gadi bu’aa; wanti gaafattan isiniif jira."" Salphinaafi hiyyummaan isaan irratti haguugamtee, dallansuu Rabbi irraa ta’een deebi’anKun waan isaan keeyyattoota Rabbiitti kafaraa, nabiyyootas haqaan ala ajjeesaa turaniifiKun waan isaan fincilaa, daangaas dabraa turaniif",""
69,2,62,"Dhugumatti warri amanan, isaan yahuudoman, kiristaanonniifi saabi’oonni,[] [isaan irraa] namni Rabbiifi Guyyaa Aakhiraatti amanee toltuus hojjate, isaaniif mindaan Gooftaa isaanii biratti qophaa’ee jiraSodaanis isaan irra hin jiru; Isaanis hin gaddanu.",""
70,2,63,"[Yaa ilmaan Israa’iil!] Yeroo Nuti waadaa keessan qabanneefi [gaara] Xuuris isin gubbaatti ol kaafnee ""waan Nuti isiniif kennine cimsaa qabadhaaAkka Rabbiin sodaattaniif waan isa keessa jirus yaadadhaa’ isiniin jenne [yaadadhaa].""[]",""
71,2,64,"Ergasii sana booda gara galtanOdoo tolli Rabbiitiifi rahmanni Isaa isin irra jiraachuu baatee, silaa isin warra hoongaye irraa taatu.",""
72,2,65,"Dhugumatti isin warra isin irraa [dhimma] Sanbataa keessatti[] daangaa dabranii, ""isin jaldeeyyii salphattoota ta’aa"" isaaniin jenne beektanii jirtu.",""
73,2,66,"Kanaafuu Nuti ishee (adabbii sana) warra isaaniin duraatiifi isaaniin boodaatiif jiilchaa, warra Rabbiin sodaataniif immoo gorsa taasifne.",""
74,2,67,"Yeroo Muusaan ummata isaatiin ""dhugumatti, Rabbiin sa’a qaluutti isin ajaja"" jedhe [yaadadhaa][Ummanni isaas] ""sila ati qishnaa nu godhattaa?"" jedhan[Muusaanis] ""ani warra wallaaloo [namatti qoosan] ta’uu irraa Rabbittin maganfadha"" jedhe",""
75,2,68,"[Ummanni isaas] ""isheen maal akka taate ifa nuuf haa godhuu Gooftaa kee nuuf gaafadhu"" jedhaniin[Muusaanis] ni jedhe: ""dhugumatti, Inni (Rabbiin) ‘isheen sa’a hin dulloomin, kan jabbiis hin ta’in giddu gala taate’ jedhaWaanuma ajajamtan dalagaa.""",""
76,2,69,"[Ummanni isaas] ""bifa ishee ifa nuuf haa godhuu Gooftaa kee nuuf gaafadhu"" jedhan[Muusaanis] ""dhugumatti, Inni (Rabbiin) ‘isheen sa’a daalattii, bifti ishee akkaan daalattii daaw’attoota gammachiiftuudha' jedha"" jedheen.",""
77,2,70,"[Ummanni isaas] “Dhugumatti, sa’oonni nurratti wal fakkaataniiru; maalummaa ishee ifa nuuf haa godhuu Gooftaa kee nuuf gaafadhuNuti yoo Rabbiin fedhe qajeeluuf jirra"" jedhan.",""
78,2,71,"[Muusaanis] ni jedhe: ""Inni (Rabbiin) ‘dhugumatti isheen sa’a dachii qotuufi oorruu (bishaan) obaasuu irratti hin leenjifamin, kan [hirdhuu qaamaa irraa] nagaa taateefi bifti makaan ishee keessa hin jirreedha’ jedha."" [Ummanni isaas] ""amma dhugaa fiddee jirta"" jedhanKan hojjachuuttis hin dhihaanne ta’anii ishee qalan.",""
79,2,72,"Yeroo lubbuu ajjeeftanii [waa’ee] ishee keessatti wal falmitan [yaadadhaa]Rabbiin waan isin dhoksaa turtan ifa baasaadha.",""
80,2,73,"""Garii [qaama] isheetiin isa (reeffa isaa) rukutaa"" jenneAkka isin xiinxaltaniif jecha akka kanatti Rabbiin du’aa jiraachisee mallattoolee Isaas isinitti agarsiisa.",""
81,2,74,"Ergasii booda onneen keessan ni gogdeIsheen [gogiinsa keessatti] akkuma dhagaati; yookiin goginaan ni caaltiDhugumatti dhagoota irraa kan laggeen isarraa maddantu jiruIsaan(dhagoota) irraa kan dhodhooyee bishaan isa irraa ba’us ni jiraAmmas isaan irraa kan sodaa Rabbii irraa ka'ee gadi kufutu jiraRabbiin waan isin dalagdan irraa dagataa miti.",""
82,2,75,"Sila! odoo gareen isaan (Yahuudaa) irraa ta’e haasa’a Rabbii kan dhaga’an ta’anii, eega hubatanii booda odoo beekanuu jijjiiran jiranuu, nuuf amanu jechuu kajeeltuu?",""
83,2,76,"Yeroo warra amanan qunnaman ""nuti amannee jirra"" jedhanYeroo gariin isaanii garii waliin kophaa ba'an, ""sila akka Rabbii keessan biratti ittiin isin falmanuuf waan Rabbiin isin beeksise isaanitti odeessituu! Sila hin xiinxaltanuu!"" jedhu.",""
84,2,77,"Sila isaan akka Rabbiin waan isaan dhoksaniifi waan isaan ifa godhan beeku hin beekanuu?",""
85,2,78,"Isaan irraas wallaaltota hawwii sobaa malee kitaaba hin beeknetu jiraIsaan kan shakkan malee homaa miti.",""
86,2,79,"Warra kitaaba harka isaaniitiin katabanii, ergasii isaan gatii muraasa bitachuuf jecha ""kun Rabbiin biraa bu’e"" jedhaniif badiin mirkanaa'e! Waan harki isaanii barreessiteef jecha badiin isaaniif haa ta’u! Ammas waan isaan carraaqqataniif jecha badiin isaaniif haa ta’u.",""
87,2,80,"""Ibiddi guyyaa lakkaa’amtuu malee nu hin tuqxu"" jedhan""Sila isin Rabbiin bira waadaa kaayattanii? [Yoo akkas ta’eef] Rabbiin waadaa isaa hin diigu; [miti] dhugaatti, waan hin beekne Rabbi irratti dubbattu"" jedhi.",""
88,2,81,"[Dubbiin akka isin jettan] miti! Namni hamtuu hojjatee hamtuun isaa isa marsite, isaan warra ibiddaatiIsaan ishee keessatti hafoodha.",""
89,2,82,"Warri amananii, gaggaarii hojjatan immoo isaan warra jannataa kan ishee keessatti hafanuudha.",""
90,2,83,"Ammas yeroo Nuti Ilmaan Israa’iil irraa ""Rabbiin malee [waan biraa] hin gabbarinaa; abbaafi haadhaaf, firootaafis, yatiimotaafis, hiyyeeyyiifis tola oolaa; namootattis toltuu haasa’aa; salaatas gadi dhaabaa; zakaas kennaa"" (jechuun) waadaa qabanne [yaadadhaa]Ergasii nama muraasa isin irraa ta’e malee, duuba deebi’aa taatanii irraa gara galtani.",""
91,2,84,"Yeroo Nuti ""dhiiga keessan hin dhangalaasinaa; namoota keessanis manneen isaanii irraa hin baasinaa"" (jechuun) waadaa keessan qabannee ergasii isin ragaa taatanii mirkaneessitan [yaadadhaa].",""
92,2,85,"Ergasii isinuma kanneentu lubbuu walii ajjeesaOdoo isaan baasuun dhorgaa isin irratti ta’ee jiruu garee isin irraa ta’e manneen isaanii irraa baaftu; isaan irrattis badiifi diinummaan wal gargaartuYoo isaan booji’amtoota ta’anii isinitti dhufanii immoo isaan bilisoomsituSila garii kitaabaatti amantanii gariitti kafartuu? Mindaan nama isin irraa kana hojjatuu jireenya addunyaa kanaa keessatti salphina malee hin jiruGuyyaa Qiyaamaas gara adabbii cimaa deebifamuRabbiin waan isin dalagdan kan dagatus hin taane.",""
93,2,86,"Isaan warra jireenya addunyaatiin Aakhiraa jijjiirrataniidhaKanaafuu adabbiin isaan irraa hin salphifamuIsaan hin gargaaramanus.",""
94,2,87,"Dhugumatti Nuti Muusaaf kitaaba kenniineerraIsa boodas ergamtoota walitti aansuun hordofsiifnee jirraIisaa ilma Maryamiifis mallattoolee ifa ta’an kenninee jirra""Ruuhul Qudsiin"" (Jibriiliinis) isa jabeessinee jirraSila dhawaata ergamaan waan lubbuun keessan hin feeneen isinitti dhufuun boontaniiti garii kijibsiiftanii garii ajjeeftuu?",""
95,2,88,"[Isaanis] ""Onneen keenya cufamaadha"" jedhanDhugumatti sababa kufrii isaanii Rabbiin waan isaan abaareef xiqqoo malee hin amananu.",""
96,2,89,"Yeroo kitaabni Rabbiin biraa ta’e kan waan isaanii wajjin jiru (Tawraatifi injiilin) dhugoomsu isaanitti dhufu, kan san dura akka warra kafaran irratti injifannoo argataniif [dhufaatii Nabi Muhammadiin SAW Rabbiin] kadhachaa turanii yeroo wanti isaan beekan isaanitti dhufu isatti kafaranKanaafuu abaarsi Rabbii kaafiroota irra haa jiraatu.",""
97,2,90,"Isaan Rabbiin tola Isaa irraa gabroota Isaa gidduu nama fedhe irratti buusuu waanyuun (jibbuun) waan Rabbiin buusetti kafaruun, wanti isaan lubbuu isaanii ittiin jijjiirratan waa fokkateKanaafuu dallansuu irratti dallansuudhaan deebi’anKaafirootaaf adabbii xiqqeessaatu jira.",""
98,2,91,"Yeroo waan Rabbiin buusetti amanaa isaaniin jedhame ""nuti waan nurratti buufametti amanna"" jedhuWaan isaan ala jiru odoo inni dhugaa dhugoomsaa waan (kitaaba) isaanii wajjin jiruu ta’ee jiruu itti kafaran(Yaa Muhammad! SAW) jedhi: ""Sila yoo dhugaan mu’uminoota taataniif maaliif sana dura nabiyyoota Rabbii ajjeeftu?""",""
99,2,92,"Dhugumatti Muusaanis ragaawwan ifa ta’aniin isinitti dhufee jiraErgasii isin lubbuu keessan miidhoo taatanii isa booda (bakka inni hin jirretti) mirgoo [gabbaramaa] godhattan.",""
100,2,93,"Yeroo Nuti waadaa keessan qabannee Gaara Xuurii gubbaa keessan irratti ol fuunee ""Waan Nuti isiniif kennine ciminaan qabadhaa[Jecha keenyas] dhaga'aa"" jenne [yaadadhaa]Ni jedhan: ""Dhageenyee faallessineerra."" Onnee isaanii keessa sababaa kufrii isaanitiin [jaalala] mirgoo [gabbaruu] obaafamanii jiru""Yoo mu’uminoota taataniif wanti iimaanni keessan itti isin ajaju waa fokkate"" jedhi!",""
101,2,94,"Jedhi: ""Yoo manni Aakhiraa Rabbiin biratti isin qofaaf namoota biraatiin ala kophatti ta’e, yoo dhugaa kan dubbattan taataniif mee du’a hawwaa.""",""
102,2,95,"Sababa waan harki isaanii dabarfatteef jecha gonkumaa isa hin hawwanuRabbiin warra miidhaa dalaganu akkaan beekaadha.",""
103,2,96,"Nama hunda irra jireenyaaf bololaa (saassataa) ta’uu isaanii argitaMushrikoota irrallee [jireenyaaf bololu]Tokkoon isaanii haala jiraachifamuun isaa kan isa hin fayyanne ta’ee jiruun, odoo waggaa kuma jiraachifamee jaalataRabbiin waan isaan dalagan akkaan argaadha.",""
104,2,97,"""Namni sababa Jibriil isa (Qur’aana) dhugoomsaa waan isa duraatiifi mu’uminootaaf qajeelfamaafi gammachuu ta’e fedha Rabbiitiin onnee kee irratti waan buuseef Jibriiliif diina ta’e, [dallansuu isaatiin haa du’u]” jedhi.",""
105,2,98,"Namni Rabbiif, malaa’ikootaaf, ergamtootaaf, Jibriiliifi Miikaa’iiliif diina ta’e [kaafira]Dhugumatti Rabbiin kaafirootaaf diina.",""
106,2,99,"Nuti dhugumatti keeyyattoota ifa ta’an gara keetti buufnee jirraIsaanitti kan kafaru finciltoota malee hin jiru.",""
107,2,100,"Sila isaan dhawaata waadaa wahii seenaniin, gareen isaan irraa ta’e isa gataa (waadaa diigaa)? Dhugaatti irra hedduun isaanii hin amanan.",""
108,2,101,"| Yeroo ergamaan Rabbiin biraa dhugoomsaa waan isaan biraa ta’ee isaanitti dhufes, gareen warra kitaabni kennameef irraa ta’e akka waan hin beekiniitti kitaaba Rabbii dugda duuba isaaniitti of irraa darbu.",""
109,2,102,"| Waan shayxaanonni bara mootummaa Sulaymaan keessa qara’aa turan hordofanSulaymaanis hin kafarreGaruu shayxaanonni sihriifi waan malaa’ikoota lamaan Haaruutiifi Maaruut irratti Baabil keessatti buufame nama kan barsiisan ta'anii kafaranIsaan (malaa’ikoonni) lamaan nama tokkos odoo ""Nuti mokkoroof dhufnee hin kafarinaa"" hin jedhin (sihrii) hin barsiisanu(Namoonnis malaa’ikoota) lamaan irraa waan ittiin dhirsaafi niitii addaan baasan baratuIsaanis nama tokko hayyama Rabbiitin ala kan miidhan hin taaneWaan isaan miidhuu malee isaan hin fayyadne baratanDhugumatti, isaan (yahuudonni) akka warri isa (sihrii) jijjiirrate Aakhiratti qooda hin qabaanne sirritti beekaniiruOdoo kan beekan ta’anii, wanti isaan lubbuu isaanii itti gurguran waa fokkate!",""
110,2,103,"Odoo isaan amananii Rabbiin sodaatanii, silaa mindaan isaan Rabbiin biraa argatan akkaan caalaa ture; odoo kan beekan ta’anii (silaa kan biraa hin filatanu).",""
111,2,104,"Yaa warra amantan! (Ergamaa Rabbiitiin) ""Raa’inaa"" hin jedhinaatii ""Unzurnaa"" jedhaa; dhageeffadhaasKaafirootaaf adabbii laalessaa ta’etu jira",""
112,2,105,"Abbootii kitaabaas ta’ee mushrikoota irraa warri kafaran Gooftaa keessan irraa toltuun isin irratti buufamuu hin jaalatanuRabbiin rahmata Isaatiin nama fedhe filataRabbiinis abbaa tola guddaati.",""
113,2,106,"Wanta keeyyata irraa jijjiirre yookiin si irraanfachiifne caaltuu ishee yookiin fakkaattuu ishee finnaSila ati Rabbiin waa hunda irratti danda’aa ta’uu hin beektuu?",""
114,2,107,"Sila ati mootummaan samiifi dachii kan Rabbii ta’uu hin beektuu? Isiniifis Rabbiin ala jaalalleefi gargaaraan hin jiru.",""
115,2,108,"Dhugaatti isin akka Muusaan kana dura gaafatame ergamaa keessan gaafachuu feetuNamni kufrii iimaanaan jijjiirrate, dhugumatti karaa sirrii irraa jallateera.",""
116,2,109,"Hedduun warra kitaabaa irraa ta’an erga dhugaan ifa isaanii galee booda, waanyoo lubbuu isaanii irraa kan ka'e erga amantanii booda kaafiroota taatanii isin deebisuu jaallatuHanga Rabbiin ajaja Isaa fidutti dhiifama godhaa; irras dabraaDhugumatti, Rabbiin waan hunda irratti danda’aadha.",""
117,2,110,"Salaata gadi dhaabaa; zakaas kennaaToltuu irraa waan lubbuu keessaniif dabarfattan (kamillee) Rabbiin biratti isa argattuDhugumatti, Rabbiin waan isin hojjattan akkaan argaadha.",""
