"Translation Info:
#---------------------------
50,2,43,"نامازنى ئادا قىلىڭلار، زاكاتنى بېرىڭلار، رۇكۇ قىلغۇچىلار بىلەن بىللە رۇكۇ قىلىڭلار[43].",""
51,2,44,"كىشىلەرنى ياخشى ئىشقا بۇيرۇپ ئۆزەڭلارنى ئۇنتۇمسىلەر؟ ھالبۇكى، سىلەر كىتاب (يەنى تەۋرات) نى ئوقۇپ تۇرىسىلەر، چۈشەنمەمسىلەر؟[44].",""
52,2,45,"سەۋر قىلىش، ناماز ئوقۇش ئارقىلىق (ئاللاھتىن) ياردەم تىلەڭلار. ناماز ئاللاھتىن قورققۇچىلار (كەمتەرلىك بىلەن ئاللاھقا بويسۇنغۇچىلار) دىن باشقىلارغا ھەقىقەتەن مۇشەققەتلىك ئىشتۇر[45].",""
53,2,46,"ئاللاھتىن قورققۇچىلار پەرۋەردىگارىغا چوقۇم مۇلاقات بولىدىغانلىقىغا ۋە ئاللاھنىڭ دەرگاھىغا چوقۇم قايتىپ بارىدىغانلىقىغا جەزمەن ئىشىنىدۇ[46].",""
54,2,47,"ئى ئىسرائىل ئەۋلادى! سىلەرگە بەرگەن نېمىتىمنى ۋە سىلەرنى (بىر زامانلاردا) تامام جاھان ئەھلىدىن ئۈستۈن قىلغانلىقىمنى ياد ئېتىڭلار[47].",""
55,2,48,"كىشى كىشىگە ئەسقاتمايدىغان، ھېچ كىشىنىڭ شاپائىتى قوبۇل قىلىنمايدىغان، ھېچ كىشىدىن فىدىيە ئېلىنمايدىغان، ئۇلار (كاپىرلار ۋە گۇناھكار بەندىلەر) ياردەمگە ئېرىشەلمەيدىغان كۈندىن قورقۇڭلار[48].",""
56,2,49,"ئۆز ۋاقتىدا سىلەرنى قاتتىق قىينىغان، ئوغۇللىرىڭلارنى بوغۇزلاپ، قىزلىرىڭلارنى (پايدىلىنىش ئۈچۈن) تىرىك قالدۇرغان پىرئەۋن گۇرۇھىدىن سىلەرنى قۇتقۇزدۇق. بۇ، پەرۋەردىگارىڭلارنىڭ (ياخشى ئادەم بىلەن يامان ئادەمنى ئايرىيدىغان) چوڭ سىنىقى ئىدى[49].",""
57,2,50,"ئۆز ۋاقتىدا دېڭىزنى يېرىپ سىلەرنى قۇتقۇزدۇق (يەنى دېڭىزنىڭ سۈيىنى ئوتتۇرىدىن بۆلۈپ، قۇرۇق يول ھاسىل قىلىپ، شۇ يەردىن سىلەرنى سالامەت ئۆتكۈزدۇق) ۋە پىرئەۋن گۇرۇھىنى كۆز ئالدىڭلاردا غەرق قىلدۇق[50].",""
58,2,51,"ئۆز ۋاقتىدا مۇساغا 40 كېچە (كۈتكەندىن كېيىن تەۋراتنى نازىل قىلىشنى) ۋەدە قىلدۇق. ئۇ سىلەردىن ئايرىلغاندىن كېيىن، ئۆزەڭلارغا زۇلۇم قىلىپ موزاينى مەبۇد قىلىۋالدىڭلار[51].",""
59,2,52,"شۇنىڭدىن كېيىن، شۈكۈر قىلسۇن دەپ، سىلەرنى ئەپۇ قىلدۇق[52].",""
60,2,53,"ئۆز ۋاقتىدا سىلەرنى ھىدايەت تاپسۇن، دەپ مۇساغا ھەقنى، كىتابنى ۋە فۇرقاننى بەردۇق[53].",""
61,2,54,"ئۆز ۋاقتىدا مۇسا ئۆز قەۋمىگە: «ئى قەۋمىم! سىلەر موزاينى مەبۇد قىلىپ، ھەقىقەتەن ئۆزۈڭلارغا زۇلۇم قىلدىڭلار، ياراتقۇچىڭلارغا تەۋبە قىلىڭلار، موزايغا چوقۇنمىغانلار چوقۇنغانلارنى ئۆلتۈرسۇن» دېدى. مۇنداق قىلىش ياراتقۇچىڭلارنىڭ دەرگاھىدا سىلەر ئۈچۈن ياخشىدۇر. ئاللاھ تەۋبەڭلارنى قوبۇل قىلدى. ئاللاھ تەۋبىنى ھەقىقەتەن بەكمۇ قوبۇل قىلغۇچىدۇر، ناھايىتى مېھرىباندۇر[54].",""
62,2,55,"ئۆز ۋاقتىدا: «ئى مۇسا! ئاللاھنى ئوپئوچۇق كۆرمىگۈچە ساڭا ھەرگىز ئىشەنمەيمىز» دېدىڭلار ـ دە، (سىلەرگە نازىل بولغان ئازابنى) كۆرۈپ تۇرغىنىڭلاردا سىلەرنى چاقماق سوقتى[55].",""
63,2,56,"ئاندىن كېيىن، سىلەرنى شۈكۈر قىلسۇن، دەپ ئۆلگىنىڭلاردىن كېيىن قايتا تىرىلدۈردۇق[56].",""
64,2,57,"سىلەرگە بۇلۇتنى سايىۋەن قىلىپ بەردۇق، سىلەرگە تەرەنجىبىن بىلەن بۆدۈنىنى چۈشۈرۈپ بەردۇق. (بىز سىلەرگە) «رىزىق قىلىپ بەرگەن پاك، شېرىن نەرسىلەردىن يەپ ـ ئىچىڭلار» (دېدۇق). ئۇلار (نېمەتلىرىمىزگە نانكورلۇق قىلىش بىلەن) بىزگە ئەمەس، پەقەت ئۆزلىرىگىلا زۇلۇم قىلدى[57].",""
65,2,58,"ئۆز ۋاقتىدا (مۇسا ئارقىلىق ئەجدادلىرىڭلارغا): «بۇ شەھەرگە (يەنى بەيتۇلمۇقەددەسكە) كىرىڭلار، ئۇ يەردە خالىغىنىڭلارچە كەڭتاشا يەپ ـ ئىچىڭلار، (بەيتۇلمۇقەددەس) دەرۋازىسىدىن (شۈكۈر قىلىش يۈزىسىدىن) سەجدە قىلغان ھالدا كىرىڭلار ۋە: (پەرۋەردىگارىمىز) گۇناھلىرىمىزنى كەچۈرگىن دەڭلار، گۇناھىڭلارنى مەغپىرەت قىلىمىز، ياخشىلارغا تېخىمۇ ئارتۇق ساۋاب بېرىمىز» دېدۇق[58].",""
66,2,59,"زۇلۇم قىلغۇچىلار ئۆزلىرىگە سۆزلەنگەن سۆزنى باشقا سۆزگە ئۆزگەرتىۋەتتى، زۇلۇم قىلغۇچىلار يولدىن چىققانلىقلىرى (يەنى ئاللاھقا ئاسىيلىق قىلغانلىقلىرى) ئۈچۈن، ئۇلارغا ئاسماندىن ئازاب چۈشۈردۇق[59].",""
67,2,60,"ئۆز ۋاقتىدا، مۇسا ئۆز قەۋمى ئۈچۈن سۇ تەلەپ قىلغان ئىدى، بىز ئۇنىڭغا: «ھاساڭ بىلەن تاشنى ئۇرغىن» دېدۇق. تاشتىن 12 بۇلاق ئېتىلىپ چىقتى، ھەممە ئادەم (يەنى ھەر بىر قەبىلە) ئۆزىنىڭ سۇ ئىچىدىغان ئورنىنى بىلدى، (ئۇلارغا) «ئاللاھ بەرگەن رىزىقتىن يەڭلار ۋە ئىچىڭلار، يەر يۈزىدە بۇزغۇنچىلىق قىلماڭلار» (دېدۇق)[60].",""
68,2,61,"ئۆز ۋاقتىدا (سىنا چۆلىدە تەرەنجىبىن ۋە بۆدۈنە بىلەنلا ئوزۇقلىنىۋاتقىنىڭلاردا) سىلەر: «ئى مۇسا! بىز بىر خىل يېمەكلىككە چىداپ تۇرالمايمىز، بىز ئۈچۈن پەرۋەردىگارىڭغا دۇئا قىلغىن، بىزگە زېمىننىڭ كۆكتاتلىرىدىن تەرخەمەك، سامساق، يېسىمۇق ۋە پىيازلارنى ئۆستۈرۈپ بەرسۇن» دېدىڭلار، مۇسا: «سىلەر ياخشىنى ناچارغا تېگىشەمسىلەر؟ (يەنى پىياز، سامساق، كۆكتاتنى تەرەنجىبىن بىلەن بۆدۈنىدىن ئارتۇق كۆرەمسىلەر؟) بىرەر شەھەرگە كىرىڭلار، (شۇ يەردە) تىلىگىنىڭلار بار» دېدى. ئۇلار خارلىقتا، موھتاجلىقتا قالدى. ئاللاھنىڭ غەزىپىگە تېگىشلىك بولدى. بۇ ئۇلارنىڭ ئاللاھنىڭ ئايەتلىرىنى ئىنكار قىلغانلىقلىرى، پەيغەمبەرلەرنى ناھەق ئۆلتۈرگەنلىكلىرى تۈپەيلىدىن بولدى. بۇ ئاللاھقا ئاسىيلىق قىلغانلىقلىرى ۋە ھەددىدىن ئاشقانلىقلىرى تۈپەيلىدىن بولدى[61].",""
69,2,62,"شۈبھىسىزكى، مۆمىنلەر، يەھۇدىيلار، ناسارالار (ئارىسىدىن) ۋە پەرىشتىلەرگە، يۇلتۇزلارغا چوقۇنغۇچىلار ئارىسىدىن ئاللاھقا، ئاخىرەت كۈنىگە ئىمان كەلتۈرگەن ۋە ياخشى ئەمەللەرنى قىلغانلار پەرۋەردىگارىنىڭ قېشىدا ئۆز ئەجرىدىن بەھرىمەن بولىدۇ. ئۇلارغا (ئاخىرەتتە) قورقۇنچ يوقتۇر ۋە ئۇلار غەم – ئەندىشە قىلمايدۇ[62].",""
70,2,63,"ئۆز ۋاقتىدا، بىز سىلەردىن چىن ۋەدە ئالغان ۋە تۇر تېغىنى ئۈستۈڭلارغا تىكلەپ قويغان، سىلەرگە: «(دۇنيادا ھالاك بولۇشتىن، ئاخىرەتتە ئازابقا قېلىشتىن) ساقلىنىشىڭلار ئۈچۈن بىز بەرگەن كىتابنى مەھكەم تۇتۇڭلار (يەنى تەۋراتقا ئەمەل قىلىڭلار)، ئۇنىڭدىكى ئەھكاملارنى ئېسىڭلاردا ساقلاڭلار» (دېگەن ئىدۇق)[63].",""
71,2,64,"شۇنىڭدىن كېيىن (بەرگەن ۋەدەڭلاردىن) يۈز ئۆرۈدۈڭلار، سىلەرگە ئاللاھنىڭ پەزلى ـ مەرھەمىتى بولمىسا ئىدى، چوقۇم زىيان تارتقۇچىلاردىن بولاتتىڭلار[64].",""
72,2,65,"ئاراڭلاردىكى شەنبە كۈنى (بېلىق تۇتماسلىق) توغرىسىدىكى شەرىئەت چەكلىمىسىدىن چىقىپ كەتكۈچىلەرنى (قانداق قىلغانلىقىمىزنى)، ئەلۋەتتە بىلىسىلەر، بىز ئۇلارغا: «خار مايمۇن بولۇپ كېتىڭلار» دېدۇق[65].",""
